
record_id,search_timestamp,travel_date,lead_time_days,source_platform,origin_iata,dest_iata,route,origin_raw,dest_raw,airline_standardized,airline_raw,flight_number,departure_time,arrival_time,duration_minutes,duration_raw,cabin_class,total_fare_inr,base_fare_inr,taxes_fees_inr,is_nonstop,raw_hash
SCR_GF_1789014489_051,2026-09-10 09:57:50,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,Air India,Air India,,11:00 PM,1:25 AM,145.0,2 hr 25 min,Economy,16583.0,,,True,e9f374c26c14
SCR_GF_1789014489_052,2026-09-10 09:57:50,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,Air India,Air India,,11:25 PM,1:50 AM,145.0,2 hr 25 min,Economy,16844.0,,,True,856e16b6dbff
SCR_GF_1789014489_053,2026-09-10 09:57:50,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,Air India,Air India,,6:00 PM,8:25 PM,145.0,2 hr 25 min,Economy,17350.0,,,True,b8b5642cb97b
SCR_GF_1789014489_054,2026-09-10 09:57:50,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,SpiceJet,SpiceJet,,7:55 PM,10:30 PM,155.0,2 hr 35 min,Economy,19603.0,,,True,99dd48dd43ac
SCR_GF_1789014489_055,2026-09-10 09:57:50,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,Air India,Air India,,7:30 PM,9:55 PM,145.0,2 hr 25 min,Economy,21434.0,,,True,4d3f39a320ff
SCR_GF_1789014489_056,2026-09-10 09:57:50,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,Air India,Air India,,8:30 PM,11:05 PM,155.0,2 hr 35 min,Economy,23844.0,,,True,7b13a79ca29f
SCR_GF_1789014489_057,2026-09-10 09:57:50,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,Air India,Air India,,7:00 PM,9:25 PM,145.0,2 hr 25 min,Economy,24973.0,,,True,df595c880596
SCR_GF_1789014489_058,2026-09-10 09:57:50,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,,00:00,00:00,140.0,2 hr 20 min,Economy,6314.0,,,True,027533023543
SCR_GF_1789014489_059,2026-09-10 09:57:50,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,,00:00,00:00,135.0,2 hr 15 min,Economy,6583.0,,,True,8a711d2bb76a
SCR_GF_1789014489_060,2026-09-10 09:57:50,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,,00:00,00:00,145.0,2 hr 25 min,Economy,6880.0,,,True,f26110650856
SCR_GF_1789014489_061,2026-09-10 09:57:50,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,,00:00,00:00,340.0,5 hr 40 min,Economy,6117.0,,,False,729759042b20
SCR_GF_1789014489_062,2026-09-10 09:57:50,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,,00:00,00:00,285.0,4 hr 45 min,Economy,6117.0,,,False,729759042b20
