record_id,search_timestamp,travel_date,lead_time_days,source_platform,origin_iata,dest_iata,route,origin_raw,dest_raw,airline_standardized,airline_raw,flight_number,departure_time,arrival_time,duration_minutes,duration_raw,cabin_class,total_fare_inr,base_fare_inr,taxes_fees_inr,is_nonstop,stops,raw_hash
SCR_GF_1789055816_036,2026-09-10 21:26:52,2026-09-17,7,google_flights,BOM,BLR,BOM-BLR,BOM,BLR,Akasa Air,Akasa Air,,12:35,2:25,110,1 hr 50 min,Economy,6249.0,,,True,Non-stop,759817039756
SCR_GF_1789055816_038,2026-09-10 21:26:52,2026-09-17,7,google_flights,BOM,BLR,BOM-BLR,BOM,BLR,IndiGo,IndiGo,,4:30,6:25,115,1 hr 55 min,Economy,6201.0,,,True,Non-stop,2abd479c8af9
SCR_GF_1789055816_039,2026-09-10 21:26:52,2026-09-17,7,google_flights,BOM,BLR,BOM-BLR,BOM,BLR,IndiGo,IndiGo,,6:30,8:25,115,1 hr 55 min,Economy,6957.0,,,True,Non-stop,31ef8174ccf5
SCR_GF_1789055816_040,2026-09-10 21:26:52,2026-09-17,7,google_flights,BOM,BLR,BOM-BLR,BOM,BLR,IndiGo,IndiGo,,11:00,12:55,115,1 hr 55 min,Economy,6957.0,,,True,Non-stop,3011f09949de
SCR_GF_1789055816_041,2026-09-10 21:26:52,2026-09-17,7,google_flights,BOM,BLR,BOM-BLR,BOM,BLR,IndiGo,IndiGo,,2:30,4:25,115,1 hr 55 min,Economy,6957.0,,,True,Non-stop,006db4b36755
SCR_GF_1789055816_042,2026-09-10 21:26:52,2026-09-17,7,google_flights,BOM,BLR,BOM-BLR,BOM,BLR,IndiGo,IndiGo,,3:35,5:25,110,1 hr 50 min,Economy,6957.0,,,True,Non-stop,879505d777d7
SCR_GF_1789055816_043,2026-09-10 21:26:52,2026-09-17,7,google_flights,BOM,BLR,BOM-BLR,BOM,BLR,IndiGo,IndiGo,,5:00,6:55,115,1 hr 55 min,Economy,6957.0,,,True,Non-stop,68ca95c74d67
SCR_GF_1789055816_044,2026-09-10 21:26:52,2026-09-17,7,google_flights,BOM,BLR,BOM-BLR,BOM,BLR,IndiGo,IndiGo,,6:30,8:25,115,1 hr 55 min,Economy,6957.0,,,True,Non-stop,31ef8174ccf5
SCR_GF_1789055816_045,2026-09-10 21:26:52,2026-09-17,7,google_flights,BOM,BLR,BOM-BLR,BOM,BLR,IndiGo,IndiGo,,10:20,12:20 AM,120,2 hr,Economy,6957.0,,,True,Non-stop,481ceea116e7
SCR_GF_1789055816_046,2026-09-10 21:26:52,2026-09-17,7,google_flights,BOM,BLR,BOM-BLR,BOM,BLR,Air India,Air India,,12:00,2:05,125,2 hr 5 min,Economy,7117.0,,,True,Non-stop,831f6f971d9f
